,postcode, total_installations_quantity
687,3030,13533.0
688,3031,183.0
689,3032,673.0
690,3033,401.0
691,3034,150.0
692,3036,49.0
693,3037,1889.0
694,3038,183.0
695,3039,170.0
696,3040,454.0
697,3041,261.0
698,3042,429.0
699,3043,228.0
700,3044,998.0
701,3045,1.0
702,3046,1377.0
703,3047,319.0
704,3048,89.0
705,3049,236.0
706,3051,180.0
707,3052,207.0
708,3053,50.0
709,3054,75.0
710,3055,234.0
711,3056,553.0
712,3057,306.0
713,3058,1160.0
714,3059,1529.0
715,3060,231.0
716,3061,18.0
717,3062,1.0
718,3063,17.0
719,3064,8127.0
720,3065,78.0
721,3066,46.0
722,3067,70.0
723,3068,368.0
724,3070,665.0
725,3071,480.0
726,3072,691.0
727,3073,1380.0
728,3074,280.0
729,3075,943.0
730,3076,2477.0
731,3078,318.0
732,3079,318.0
733,3081,531.0
734,3082,271.0
735,3083,919.0
736,3084,446.0
737,3085,218.0
738,3087,82.0
739,3088,361.0
740,3089,219.0
741,3090,69.0
742,3091,62.0
743,3093,67.0
744,3094,98.0
745,3095,297.0
746,3096,18.0
747,3097,56.0
748,3099,142.0
749,3101,281.0
750,3102,110.0
751,3103,372.0
752,3104,435.0
753,3105,193.0
754,3106,262.0
755,3107,170.0
756,3108,450.0
757,3109,463.0
758,3111,184.0
759,3113,127.0
760,3114,56.0
761,3115,73.0
762,3116,358.0
763,3121,386.0
764,3122,175.0
765,3123,126.0
766,3124,354.0
767,3125,456.0
768,3126,134.0
769,3127,329.0
770,3128,506.0
771,3129,358.0
772,3130,775.0
773,3131,487.0
774,3132,305.0
775,3133,355.0
776,3134,410.0
777,3135,351.0
778,3136,960.0
779,3137,266.0
780,3138,573.0
781,3139,300.0
782,3140,426.0
783,3141,94.0
784,3142,84.0
785,3143,50.0
786,3144,148.0
787,3145,359.0
788,3146,463.0
789,3147,532.0
790,3148,363.0
791,3149,1208.0
792,3150,1372.0
793,3151,189.0
794,3152,934.0
795,3153,348.0
796,3154,35.0
797,3155,291.0
798,3156,604.0
799,3158,60.0
800,3159,33.0
801,3160,105.0
802,3161,188.0
803,3162,432.0
804,3163,484.0
805,3165,1125.0
806,3166,426.0
807,3167,137.0
808,3168,499.0
809,3169,252.0
810,3170,392.0
811,3171,392.0
812,3172,162.0
813,3173,2397.0
814,3174,432.0
815,3175,847.0
816,3177,144.0
817,3178,468.0
818,3179,91.0
819,3180,160.0
820,3181,104.0
821,3182,115.0
822,3183,153.0
823,3184,108.0
824,3185,121.0
825,3186,353.0
826,3187,346.0
827,3188,332.0
828,3189,93.0
829,3190,198.0
830,3191,169.0
831,3192,580.0
832,3193,404.0
833,3194,248.0
834,3195,758.0
835,3196,574.0
836,3197,159.0
837,3198,229.0
838,3199,619.0
839,3200,23.0
840,3201,689.0
841,3202,9.0
842,3204,883.0
843,3205,104.0
844,3206,104.0
845,3207,113.0
846,3211,76.0
847,3212,1471.0
848,3213,80.0
849,3214,760.0
850,3215,812.0
851,3216,2699.0
852,3217,2470.0
853,3218,425.0
854,3219,515.0
855,3220,421.0
856,3221,327.0
857,3222,1580.0
858,3223,907.0
859,3224,1468.0
860,3225,277.0
861,3226,1315.0
862,3227,463.0
863,3228,1720.0
864,3230,177.0
865,3231,103.0
866,3232,55.0
867,3233,140.0
868,3234,2.0
869,3235,34.0
870,3236,11.0
871,3237,11.0
872,3238,19.0
873,3239,12.0
874,3240,139.0
875,3241,278.0
876,3242,55.0
877,3243,25.0
878,3249,155.0
879,3250,741.0
880,3251,34.0
881,3254,18.0
882,3260,158.0
883,3264,64.0
884,3265,92.0
885,3266,69.0
886,3267,5.0
887,3268,83.0
888,3269,24.0
889,3270,24.0
890,3271,4.0
891,3272,52.0
892,3273,3.0
893,3274,7.0
894,3275,24.0
895,3276,9.0
896,3277,50.0
897,3278,17.0
898,3279,15.0
899,3280,1221.0
900,3281,89.0
