dec_installations_quantity, oct_installations_quantity, jun_installations_quantity, postcode, total_installations_quantity, jul_installations_quantity, nov_installations_quantity, apr_installations_quantity, sep_installations_quantity, aug_installations_quantity, jan_installations_quantity, may_installations_quantity, feb_installations_quantity, mar_installations_quantity
8,6,4,"3752",86,6,6,6,3,9,2,23,6,7
0,0,0,"3760",0,0,0,0,0,0,0,0,0,0
0,0,0,"3766",0,0,0,0,0,0,0,0,0,0
20,10,31,"3750",263,23,11,31,17,16,13,31,26,34
0,0,0,"3751",1,0,0,0,0,0,0,1,0,0
7,5,2,"3753",52,6,5,9,3,2,0,1,6,6
77,68,72,"3754",923,81,61,89,91,74,50,78,62,120
0,0,0,"3755",1,0,0,0,0,0,0,1,0,0
3,5,4,"3757",26,3,1,0,2,0,0,3,2,3
0,0,0,"3759",3,0,1,2,0,0,0,0,0,0
0,0,0,"3761",0,0,0,0,0,0,0,0,0,0
1,0,0,"3767",1,0,0,0,0,0,0,0,0,0
0,1,0,"3770",2,0,1,0,0,0,0,0,0,0
1,0,1,"3775",11,1,1,0,2,0,0,3,1,1
1,0,1,"3777",11,0,1,0,0,0,2,4,1,1
0,0,1,"3778",1,0,0,0,0,0,0,0,0,0
1,0,1,"3781",3,0,1,0,0,0,0,0,0,0
0,2,2,"3782",11,1,0,0,0,2,1,1,1,1
1,3,1,"3783",10,0,1,0,1,1,0,1,0,1
0,0,0,"3763",4,0,0,1,0,0,1,0,2,0
1,0,0,"3765",4,0,0,0,0,0,0,2,1,0
1,0,1,"3786",3,0,0,0,0,0,0,0,1,0
0,0,0,"3787",0,0,0,0,0,0,0,0,0,0
0,0,0,"3788",0,0,0,0,0,0,0,0,0,0
0,0,0,"3789",1,0,1,0,0,0,0,0,0,0
0,0,0,"3791",0,0,0,0,0,0,0,0,0,0
1,0,2,"3796",5,0,0,0,1,0,0,0,0,1
0,0,1,"3802",4,0,1,1,0,0,0,0,1,0
0,0,1,"3803",2,0,0,0,0,0,0,1,0,0
2,2,5,"3804",22,2,0,1,1,1,2,3,2,1
5,8,5,"3805",64,6,5,6,6,9,1,7,3,3
12,12,3,"3806",79,5,10,5,20,4,1,1,4,2
4,0,1,"3807",15,2,1,2,0,2,0,1,0,2
1,0,0,"3808",5,0,0,0,0,1,1,0,2,0
25,13,13,"3809",148,8,18,11,14,8,6,6,13,13
30,27,37,"3810",394,59,15,32,27,23,18,50,47,29
0,0,0,"3812",1,0,0,0,0,1,0,0,0,0
0,0,0,"3813",3,0,1,0,1,0,0,0,0,1
1,1,0,"3814",7,1,1,1,0,1,0,1,0,0
1,0,0,"3913",11,1,2,4,0,0,1,0,2,0
0,1,0,"3915",9,0,2,1,1,1,1,1,0,1
0,1,1,"3916",4,0,0,0,0,1,1,0,0,0
0,2,1,"3918",7,0,1,0,1,0,0,0,1,1
1,0,1,"3911",4,0,0,0,0,0,0,1,1,0
2,11,11,"3910",96,8,2,5,4,5,2,14,21,11
28,1,2,"3912",43,0,0,1,0,7,0,4,0,0
0,5,2,"3919",10,0,0,2,0,0,0,0,0,1
0,0,0,"3921",0,0,0,0,0,0,0,0,0,0
7,2,3,"3922",40,4,9,4,2,5,0,2,0,2
0,0,0,"3923",1,0,0,0,0,0,0,0,1,0
2,0,0,"3940",5,0,0,0,2,0,0,0,0,1
2,0,1,"3941",20,1,5,1,3,4,0,2,1,0
2,0,0,"3942",11,1,2,0,1,2,0,3,0,0
3,1,0,"3943",5,0,0,0,0,0,1,0,0,0
0,0,0,"3944",0,0,0,0,0,0,0,0,0,0
0,1,0,"3945",5,0,0,1,1,0,1,0,1,0
1,0,0,"3926",6,1,1,0,1,0,0,1,0,1
0,1,0,"3927",7,1,0,0,2,1,0,2,0,0
11,7,3,"3976",27,0,3,0,2,0,1,0,0,0
0,0,0,"3928",1,0,0,0,0,0,0,1,0,0
1,2,0,"3929",7,0,1,0,0,2,0,1,0,0
4,2,3,"3930",22,2,1,1,1,3,0,1,2,2
18,9,35,"3931",131,28,13,5,9,5,0,1,5,3
0,0,0,"3933",2,0,0,0,0,0,0,1,0,1
3,7,0,"3934",49,4,1,2,17,4,3,0,4,4
64,69,79,"3977",890,67,71,94,74,87,30,90,87,78
50,53,30,"3978",427,33,51,32,38,27,16,40,26,31
0,0,0,"3979",0,0,0,0,0,0,0,0,0,0
1,0,0,"3980",4,1,0,0,0,1,0,1,0,0
6,1,2,"3981",16,1,1,0,0,3,0,1,0,1
1,1,0,"3984",11,0,0,2,1,2,1,2,0,1
6,4,5,"3936",53,4,1,1,7,5,2,5,1,12
1,2,0,"3937",4,0,0,1,0,0,0,0,0,0
1,1,0,"3938",6,1,0,0,0,1,0,1,0,1
6,4,4,"3939",45,1,14,1,3,2,2,1,3,4
4,2,6,"3975",88,1,5,3,12,6,7,9,14,19
0,0,0,"3990",1,0,0,1,0,0,0,0,0,0
0,0,0,"3991",2,0,0,0,2,0,0,0,0,0
0,1,0,"3992",5,1,0,0,1,1,0,0,1,0
2,3,1,"3995",22,1,3,1,0,1,4,4,1,1
